Run;File;n_obs;load_ms;exec_ms
77;NEABT_input_10000.pl;10000;490;155
78;NEABT_input_100.pl;100;4;1
78;NEABT_input_500.pl;500;22;7
78;NEABT_input_1000.pl;1000;44;13
78;NEABT_input_2000.pl;2000;87;30
78;NEABT_input_5000.pl;5000;220;69
78;NEABT_input_10000.pl;10000;503;158
79;NEABT_input_100.pl;100;4;1
79;NEABT_input_500.pl;500;22;10
79;NEABT_input_1000.pl;1000;46;14
79;NEABT_input_2000.pl;2000;96;43
79;NEABT_input_5000.pl;5000;236;67
79;NEABT_input_10000.pl;10000;464;138
80;NEABT_input_100.pl;100;4;1
80;NEABT_input_500.pl;500;25;8
80;NEABT_input_1000.pl;1000;50;15
80;NEABT_input_2000.pl;2000;95;29
80;NEABT_input_5000.pl;5000;220;75
80;NEABT_input_10000.pl;10000;569;187
81;NEABT_input_100.pl;100;5;1
81;NEABT_input_500.pl;500;28;9
81;NEABT_input_1000.pl;1000;60;28
81;NEABT_input_2000.pl;2000;95;27
81;NEABT_input_5000.pl;5000;248;78
81;NEABT_input_10000.pl;10000;525;153
82;NEABT_input_100.pl;100;5;1
82;NEABT_input_500.pl;500;23;6
82;NEABT_input_1000.pl;1000;48;14
82;NEABT_input_2000.pl;2000;92;34
82;NEABT_input_5000.pl;5000;273;87
82;NEABT_input_10000.pl;10000;645;155
83;NEABT_input_100.pl;100;5;1
83;NEABT_input_500.pl;500;29;10
83;NEABT_input_1000.pl;1000;59;24
83;NEABT_input_2000.pl;2000;141;42
83;NEABT_input_5000.pl;5000;334;91
83;NEABT_input_10000.pl;10000;607;161
84;NEABT_input_100.pl;100;4;1
84;NEABT_input_500.pl;500;30;13
84;NEABT_input_1000.pl;1000;62;16
84;NEABT_input_2000.pl;2000;98;31
84;NEABT_input_5000.pl;5000;397;86
84;NEABT_input_10000.pl;10000;544;348
85;NEABT_input_100.pl;100;5;1
85;NEABT_input_500.pl;500;27;11
85;NEABT_input_1000.pl;1000;61;17
85;NEABT_input_2000.pl;2000;95;29
85;NEABT_input_5000.pl;5000;239;84
85;NEABT_input_10000.pl;10000;501;155
86;NEABT_input_100.pl;100;5;1
86;NEABT_input_500.pl;500;23;7
86;NEABT_input_1000.pl;1000;46;15
86;NEABT_input_2000.pl;2000;93;30
86;NEABT_input_5000.pl;5000;229;76
86;NEABT_input_10000.pl;10000;495;157
87;NEABT_input_100.pl;100;5;1
87;NEABT_input_500.pl;500;24;6
87;NEABT_input_1000.pl;1000;45;14
87;NEABT_input_2000.pl;2000;84;27
87;NEABT_input_5000.pl;5000;228;73
87;NEABT_input_10000.pl;10000;465;152
88;NEABT_input_100.pl;100;5;1
88;NEABT_input_500.pl;500;25;8
88;NEABT_input_1000.pl;1000;48;14
88;NEABT_input_2000.pl;2000;91;30
88;NEABT_input_5000.pl;5000;227;72
88;NEABT_input_10000.pl;10000;516;145
89;NEABT_input_100.pl;100;5;1
89;NEABT_input_500.pl;500;22;6
89;NEABT_input_1000.pl;1000;49;15
89;NEABT_input_2000.pl;2000;99;30
89;NEABT_input_5000.pl;5000;226;71
89;NEABT_input_10000.pl;10000;493;143
90;NEABT_input_100.pl;100;5;1
90;NEABT_input_500.pl;500;21;7
90;NEABT_input_1000.pl;1000;43;13
90;NEABT_input_2000.pl;2000;87;28
90;NEABT_input_5000.pl;5000;240;77
90;NEABT_input_10000.pl;10000;508;146
91;NEABT_input_100.pl;100;4;1
91;NEABT_input_500.pl;500;22;7
91;NEABT_input_1000.pl;1000;43;14
91;NEABT_input_2000.pl;2000;88;30
91;NEABT_input_5000.pl;5000;231;82
91;NEABT_input_10000.pl;10000;545;288
92;NEABT_input_100.pl;100;5;2
92;NEABT_input_500.pl;500;37;8
92;NEABT_input_1000.pl;1000;64;17
92;NEABT_input_2000.pl;2000;93;32
92;NEABT_input_5000.pl;5000;332;77
92;NEABT_input_10000.pl;10000;510;139
93;NEABT_input_100.pl;100;4;1
93;NEABT_input_500.pl;500;21;6
93;NEABT_input_1000.pl;1000;42;16
93;NEABT_input_2000.pl;2000;89;30
93;NEABT_input_5000.pl;5000;216;74
93;NEABT_input_10000.pl;10000;520;156
94;NEABT_input_100.pl;100;5;2
94;NEABT_input_500.pl;500;23;7
94;NEABT_input_1000.pl;1000;53;17
94;NEABT_input_2000.pl;2000;201;35
94;NEABT_input_5000.pl;5000;255;69
94;NEABT_input_10000.pl;10000;483;163
95;NEABT_input_100.pl;100;5;1
95;NEABT_input_500.pl;500;23;7
95;NEABT_input_1000.pl;1000;43;15
95;NEABT_input_2000.pl;2000;111;32
95;NEABT_input_5000.pl;5000;236;78
95;NEABT_input_10000.pl;10000;487;147
96;NEABT_input_100.pl;100;4;1
96;NEABT_input_500.pl;500;22;6
96;NEABT_input_1000.pl;1000;44;13
96;NEABT_input_2000.pl;2000;95;28
96;NEABT_input_5000.pl;5000;226;70
96;NEABT_input_10000.pl;10000;700;156
97;NEABT_input_100.pl;100;5;1
97;NEABT_input_500.pl;500;23;12
97;NEABT_input_1000.pl;1000;92;23
97;NEABT_input_2000.pl;2000;108;49
97;NEABT_input_5000.pl;5000;326;155
97;NEABT_input_10000.pl;10000;604;193
98;NEABT_input_100.pl;100;5;5
98;NEABT_input_500.pl;500;23;12
98;NEABT_input_1000.pl;1000;56;28
98;NEABT_input_2000.pl;2000;113;37
98;NEABT_input_5000.pl;5000;294;120
98;NEABT_input_10000.pl;10000;612;207
99;NEABT_input_100.pl;100;6;1
99;NEABT_input_500.pl;500;82;40
99;NEABT_input_1000.pl;1000;65;25
99;NEABT_input_2000.pl;2000;109;31
99;NEABT_input_5000.pl;5000;328;156
99;NEABT_input_10000.pl;10000;664;251
100;NEABT_input_100.pl;100;10;1
100;NEABT_input_500.pl;500;37;10
100;NEABT_input_1000.pl;1000;88;20
100;NEABT_input_2000.pl;2000;153;50
100;NEABT_input_5000.pl;5000;271;101
100;NEABT_input_10000.pl;10000;586;292

--- Valori Medi ---
File;n_obs;Avg_Load_ms;Avg_Exec_ms
NEABT_input_100.pl;100;4,51;1,20
NEABT_input_500.pl;500;24,00;7,83
NEABT_input_1000.pl;1000;48,24;15,56
NEABT_input_2000.pl;2000;97,78;31,62
NEABT_input_5000.pl;5000;244,93;79,14
NEABT_input_10000.pl;10000;517,53;157,53
